

x(m), Y
-9.00747e-06, 0.015073
-8.97748e-06, 0.0158621
-8.94748e-06, 0.0168088
-8.91749e-06, 0.0179058
-8.88749e-06, 0.0191403
-8.8575e-06, 0.0204948
-8.82751e-06, 0.0219464
-8.79751e-06, 0.023468
-8.76752e-06, 0.0250284
-8.73753e-06, 0.0265933
-8.70753e-06, 0.0281266
-8.67754e-06, 0.0295921
-8.64754e-06, 0.0309554
-8.61755e-06, 0.0321863
-8.58756e-06, 0.0332616
-8.55756e-06, 0.0341675
-8.52757e-06, 0.0349026
-8.49758e-06, 0.0354799
-8.46758e-06, 0.0359285
-8.43759e-06, 0.0362939
-8.40759e-06, 0.0366361
-8.3776e-06, 0.0370262
-8.34761e-06, 0.0375383
-8.31761e-06, 0.0382408
-8.28762e-06, 0.0391851
-8.25763e-06, 0.0403973
-8.22763e-06, 0.0418727
-8.19764e-06, 0.0435764
-8.16764e-06, 0.0454488
-8.13765e-06, 0.0474135
-8.10766e-06, 0.0493868
-8.07766e-06, 0.0512856
-8.04767e-06, 0.0530347
-8.01768e-06, 0.0545714
-7.98768e-06, 0.0558493
-7.95769e-06, 0.0568406
-7.92769e-06, 0.0575366
-7.8977e-06, 0.0579479
-7.86771e-06, 0.0581032
-7.83771e-06, 0.0580463
-7.80772e-06, 0.0578332
-7.77773e-06, 0.057527
-7.74773e-06, 0.0571925
-7.71774e-06, 0.0568903
-7.68774e-06, 0.0566708
-7.65775e-06, 0.0565703
-7.62776e-06, 0.056608
-7.59776e-06, 0.0567855
-7.56777e-06, 0.0570897
-7.53778e-06, 0.0574963
-7.50778e-06, 0.0579742
-7.47779e-06, 0.058491
-7.44779e-06, 0.0590156
-7.4178e-06, 0.0595207
-7.38781e-06, 0.0599836
-7.35781e-06, 0.0603855
-7.32782e-06, 0.0607097
-7.29783e-06, 0.0609402
-7.26783e-06, 0.0610596
-7.23784e-06, 0.0610479
-7.20784e-06, 0.0608824
-7.17785e-06, 0.0605387
-7.14786e-06, 0.0599916
-7.11786e-06, 0.0592186
-7.08787e-06, 0.0582027
-7.05788e-06, 0.0569352
-7.02788e-06, 0.05542
-6.99789e-06, 0.053675
-6.96789e-06, 0.0517353
-6.9379e-06, 0.0496538
-6.90791e-06, 0.0475003
-6.87791e-06, 0.0453599
-6.84792e-06, 0.0433271
-6.81793e-06, 0.041497
-6.78793e-06, 0.0399536
-6.75794e-06, 0.0387558
-6.72794e-06, 0.0379239
-6.69795e-06, 0.0374336
-6.66796e-06, 0.0372178
-6.63796e-06, 0.0371781
-6.60797e-06, 0.0371997
-6.57798e-06, 0.0371678
-6.54798e-06, 0.0369793
-6.51799e-06, 0.03655
-6.48799e-06, 0.0358193
-6.458e-06, 0.0347504
-6.42801e-06, 0.0333299
-6.39801e-06, 0.0315667
-6.36802e-06, 0.029489
-6.33803e-06, 0.0271433
-6.30803e-06, 0.024592
-6.27804e-06, 0.0219135
-6.24804e-06, 0.0192025
-6.21805e-06, 0.0165739
-6.18806e-06, 0.0141698
-6.15806e-06, 0.0121649
-6.12807e-06, 0.0107545
-6.09808e-06, 0.0100878
-6.06808e-06, 0.0101582
-6.03809e-06, 0.0107768
-6.00809e-06, 0.0116844
-5.9781e-06, 0.0126616
-5.94811e-06, 0.0135588
-5.91811e-06, 0.0142839
-5.88812e-06, 0.0147842
-5.85813e-06, 0.0150333
-5.82813e-06, 0.015024
-5.79814e-06, 0.0147646
