

x(m), Y
-9.00747e-06, 0.0166647
-8.97748e-06, 0.0176275
-8.94748e-06, 0.018689
-8.91749e-06, 0.0198362
-8.88749e-06, 0.0210522
-8.8575e-06, 0.0223169
-8.82751e-06, 0.0236068
-8.79751e-06, 0.0248952
-8.76752e-06, 0.0261544
-8.73753e-06, 0.0273558
-8.70753e-06, 0.0284729
-8.67754e-06, 0.0294827
-8.64754e-06, 0.0303689
-8.61755e-06, 0.0311244
-8.58756e-06, 0.0317538
-8.55756e-06, 0.0322758
-8.52757e-06, 0.032724
-8.49758e-06, 0.0331469
-8.46758e-06, 0.0336053
-8.43759e-06, 0.0341663
-8.40759e-06, 0.0348954
-8.3776e-06, 0.0358463
-8.34761e-06, 0.037051
-8.31761e-06, 0.0385137
-8.28762e-06, 0.0402085
-8.25763e-06, 0.0420839
-8.22763e-06, 0.0440686
-8.19764e-06, 0.0460813
-8.16764e-06, 0.0480387
-8.13765e-06, 0.049863
-8.10766e-06, 0.0514877
-8.07766e-06, 0.0528627
-8.04767e-06, 0.0539566
-8.01768e-06, 0.0547595
-7.98768e-06, 0.0552828
-7.95769e-06, 0.0555592
-7.92769e-06, 0.0556397
-7.8977e-06, 0.0555898
-7.86771e-06, 0.0554832
-7.83771e-06, 0.0553938
-7.80772e-06, 0.0553875
-7.77773e-06, 0.0555135
-7.74773e-06, 0.0557979
-7.71774e-06, 0.0562412
-7.68774e-06, 0.0568187
-7.65775e-06, 0.057487
-7.62776e-06, 0.0581905
-7.59776e-06, 0.058871
-7.56777e-06, 0.0594753
-7.53778e-06, 0.059962
-7.50778e-06, 0.0603048
-7.47779e-06, 0.0604954
-7.44779e-06, 0.060542
-7.4178e-06, 0.0604669
-7.38781e-06, 0.060302
-7.35781e-06, 0.0600828
-7.32782e-06, 0.0598424
-7.29783e-06, 0.0596047
-7.26783e-06, 0.0593798
-7.23784e-06, 0.0591618
-7.20784e-06, 0.0589281
-7.17785e-06, 0.058643
-7.14786e-06, 0.0582625
-7.11786e-06, 0.0577401
-7.08787e-06, 0.0570341
-7.05788e-06, 0.0561132
-7.02788e-06, 0.0549613
-6.99789e-06, 0.0535814
-6.96789e-06, 0.0519967
-6.9379e-06, 0.0502514
