

x(m), Y
-9.00747e-06, 0.0163595
-8.97748e-06, 0.0171631
-8.94748e-06, 0.018072
-8.91749e-06, 0.0190786
-8.88749e-06, 0.0201723
-8.8575e-06, 0.0213386
-8.82751e-06, 0.0225602
-8.79751e-06, 0.0238165
-8.76752e-06, 0.0250852
-8.73753e-06, 0.0263425
-8.70753e-06, 0.0275651
-8.67754e-06, 0.0287317
-8.64754e-06, 0.0298243
-8.61755e-06, 0.0308307
-8.58756e-06, 0.031746
-8.55756e-06, 0.0325741
-8.52757e-06, 0.0333287
-8.49758e-06, 0.0340336
-8.46758e-06, 0.0347213
-8.43759e-06, 0.0354309
-8.40759e-06, 0.0362043
-8.3776e-06, 0.0370811
-8.34761e-06, 0.0380928
-8.31761e-06, 0.0392585
-8.28762e-06, 0.0405808
-8.25763e-06, 0.0420454
-8.22763e-06, 0.0436218
-8.19764e-06, 0.0452676
-8.16764e-06, 0.0469327
-8.13765e-06, 0.0485641
-8.10766e-06, 0.0501115
-8.07766e-06, 0.0515305
-8.04767e-06, 0.0527863
-8.01768e-06, 0.0538558
-7.98768e-06, 0.0547285
-7.95769e-06, 0.0554072
-7.92769e-06, 0.0559064
-7.8977e-06, 0.0562516
-7.86771e-06, 0.0564758
-7.83771e-06, 0.0566165
-7.80772e-06, 0.0567123
-7.77773e-06, 0.0567985
-7.74773e-06, 0.0569043
-7.71774e-06, 0.0570499
-7.68774e-06, 0.0572458
-7.65775e-06, 0.0574928
-7.62776e-06, 0.0577836
-7.59776e-06, 0.0581054
-7.56777e-06, 0.0584424
-7.53778e-06, 0.0587793
-7.50778e-06, 0.0591024
-7.47779e-06, 0.0594014
-7.44779e-06, 0.0596694
-7.4178e-06, 0.0599019
-7.38781e-06, 0.0600953
-7.35781e-06, 0.0602449
-7.32782e-06, 0.0603431
-7.29783e-06, 0.0603781
-7.26783e-06, 0.0603331
-7.23784e-06, 0.0601866
-7.20784e-06, 0.0599141
-7.17785e-06, 0.0594901
-7.14786e-06, 0.0588908
-7.11786e-06, 0.0580976
-7.08787e-06, 0.0570998
-7.05788e-06, 0.055897
-7.02788e-06, 0.0545019
-6.99789e-06, 0.0529405
-6.96789e-06, 0.0512528
-6.9379e-06, 0.0494908
-6.90791e-06, 0.0477162
-6.87791e-06, 0.0459952
-6.84792e-06, 0.0443921
-6.81793e-06, 0.0429618
-6.78793e-06, 0.0417411
-6.75794e-06, 0.0407428
-6.72794e-06, 0.0399523
-6.69795e-06, 0.0393286
-6.66796e-06, 0.0388102
-6.63796e-06, 0.0383235
-6.60797e-06, 0.0377923
-6.57798e-06, 0.0371461
-6.54798e-06, 0.0363262
-6.51799e-06, 0.0352901
-6.48799e-06, 0.0340132
-6.458e-06, 0.0324897
-6.42801e-06, 0.0307318
-6.39801e-06, 0.028769
-6.36802e-06, 0.026646
-6.33803e-06, 0.0244225
-6.30803e-06, 0.022171
-6.27804e-06, 0.0199761
-6.24804e-06, 0.0179326
-6.21805e-06, 0.0161414
-6.18806e-06, 0.0146986
-6.15806e-06, 0.0136763
-6.12807e-06, 0.0130963
-6.09808e-06, 0.0129148
-6.06808e-06, 0.0130325
-6.03809e-06, 0.0133251
-6.00809e-06, 0.0136755
-5.9781e-06, 0.0139897
-5.94811e-06, 0.014201
-5.91811e-06, 0.0142671
-5.88812e-06, 0.0141661
-5.85813e-06, 0.013893
-5.82813e-06, 0.0134577
-5.79814e-06, 0.012884
-5.76814e-06, 0.012211
-5.73815e-06, 0.0114944
-5.70816e-06, 0.0108084
-5.67816e-06, 0.010244
-5.64817e-06, 0.00989907
-5.61818e-06, 0.009855
-5.58818e-06, 0.0101471
-5.55819e-06, 0.0107493
-5.52819e-06, 0.0115868
-5.4982e-06, 0.0125635
-5.46821e-06, 0.0135846
-5.43821e-06, 0.014568
-5.40822e-06, 0.0154481
-5.37823e-06, 0.0161768
-5.34823e-06, 0.0167228
-5.31824e-06, 0.0170731
-5.28824e-06, 0.017233
-5.25825e-06, 0.0172275
-5.22826e-06, 0.0171015
-5.19826e-06, 0.0169189
-5.16827e-06, 0.0167582
-5.13828e-06, 0.0167037
-5.10828e-06, 0.0168314
-5.07829e-06, 0.0171919
-5.04829e-06, 0.0177974
-5.0183e-06, 0.0186191
-4.98831e-06, 0.0195955
-4.95831e-06, 0.0206462
-4.92832e-06, 0.021686
-4.89833e-06, 0.0226354
-4.86833e-06, 0.0234263
-4.83834e-06, 0.0240065
-4.80834e-06, 0.0243408
-4.77835e-06, 0.0244122
-4.74836e-06, 0.0242223
-4.71836e-06, 0.0237906
-4.68837e-06, 0.023154
-4.65838e-06, 0.0223652
-4.62838e-06, 0.0214897
-4.59839e-06, 0.020602
-4.56839e-06, 0.019778
-4.5384e-06, 0.0190863
-4.50841e-06, 0.0185767
-4.47841e-06, 0.0182713
-4.44842e-06, 0.0181599
-4.41843e-06, 0.0182042
-4.38843e-06, 0.0183483
-4.35844e-06, 0.0185313
-4.32845e-06, 0.0186989
-4.29845e-06, 0.0188099
-4.26846e-06, 0.0188402
-4.23846e-06, 0.018783
-4.20847e-06, 0.0186468
-4.17848e-06, 0.0184521
-4.14848e-06, 0.018227
-4.11849e-06, 0.0180017
-4.0885e-06, 0.017803
-4.0585e-06, 0.0176496
-4.02851e-06, 0.0175495
-3.99851e-06, 0.0174998
-3.96852e-06, 0.0174891
-3.93853e-06, 0.017503
-3.90853e-06, 0.0175286
-3.87854e-06, 0.01756
-3.84855e-06, 0.0176019
-3.81855e-06, 0.0176698
-3.78856e-06, 0.0177896
-3.75856e-06, 0.0179925
-3.72857e-06, 0.0183085
-3.69858e-06, 0.0187596
-3.66858e-06, 0.0193531
-3.63859e-06, 0.0200788
-3.6086e-06, 0.0209106
-3.5786e-06, 0.02181
-3.54861e-06, 0.022733
-3.51861e-06, 0.0236357
-3.48862e-06, 0.0244795
-3.45863e-06, 0.0252351
-3.42863e-06, 0.0258845
-3.39864e-06, 0.0264219
-3.36865e-06, 0.0268535
-3.33865e-06, 0.0271949
-3.30866e-06, 0.0274687
-3.27866e-06, 0.0276998
-3.24867e-06, 0.027911
-3.21868e-06, 0.0281177
-3.18868e-06, 0.0283248
-3.15869e-06, 0.0285245
-3.1287e-06, 0.0286962
-3.0987e-06, 0.0288096
-3.06871e-06, 0.0288283
-3.03871e-06, 0.0287148
-3.00872e-06, 0.0284363
-2.97873e-06, 0.0279683
-2.94873e-06, 0.0273004
-2.91874e-06, 0.0264388
-2.88875e-06, 0.02541
-2.85875e-06, 0.024263
-2.82876e-06, 0.0230708
-2.79876e-06, 0.0219294
-2.76877e-06, 0.0209522
-2.73878e-06, 0.0202567
-2.70878e-06, 0.0199404
-2.67879e-06, 0.0200549
-2.6488e-06, 0.0205877
-2.6188e-06, 0.0214667
-2.58881e-06, 0.0225815
-2.55881e-06, 0.0238102
-2.52882e-06, 0.0250381
-2.49883e-06, 0.0261673
-2.46883e-06, 0.0271204
-2.43884e-06, 0.0278397
-2.40885e-06, 0.0282856
-2.37885e-06, 0.0284345
-2.34886e-06, 0.0282763
-2.31886e-06, 0.0278128
-2.28887e-06, 0.027055
-2.25888e-06, 0.0260223
-2.22888e-06, 0.0247407
-2.19889e-06, 0.0232426
-2.1689e-06, 0.0215668
-2.1389e-06, 0.0197609
-2.10891e-06, 0.0178839
-2.07891e-06, 0.0160135
-2.04892e-06, 0.014255
-2.01893e-06, 0.0127514
-1.98893e-06, 0.0116827
