

x(m), Y
-9.00747e-06, 0.0164574
-8.97748e-06, 0.0173244
-8.94748e-06, 0.0182953
-8.91749e-06, 0.0193604
-8.88749e-06, 0.0205066
-8.8575e-06, 0.0217171
-8.82751e-06, 0.0229719
-8.79751e-06, 0.0242481
-8.76752e-06, 0.025521
-8.73753e-06, 0.0267648
-8.70753e-06, 0.0279546
-8.67754e-06, 0.0290682
-8.64754e-06, 0.0300879
-8.61755e-06, 0.0310031
-8.58756e-06, 0.0318121
-8.55756e-06, 0.0325238
-8.52757e-06, 0.0331591
-8.49758e-06, 0.0337504
-8.46758e-06, 0.0343406
-8.43759e-06, 0.0349793
-8.40759e-06, 0.0357176
-8.3776e-06, 0.0366016
-8.34761e-06, 0.0376649
-8.31761e-06, 0.0389232
-8.28762e-06, 0.0403707
-8.25763e-06, 0.0419804
-8.22763e-06, 0.0437075
-8.19764e-06, 0.0454947
-8.16764e-06, 0.0472784
-8.13765e-06, 0.0489953
-8.10766e-06, 0.0505877
-8.07766e-06, 0.0520077
-8.04767e-06, 0.0532208
-8.01768e-06, 0.0542079
-7.98768e-06, 0.0549661
-7.95769e-06, 0.0555084
-7.92769e-06, 0.0558625
-7.8977e-06, 0.0560681
-7.86771e-06, 0.0561728
-7.83771e-06, 0.0562271
-7.80772e-06, 0.0562797
-7.77773e-06, 0.0563715
-7.74773e-06, 0.0565315
-7.71774e-06, 0.0567737
-7.68774e-06, 0.0570973
-7.65775e-06, 0.0574877
-7.62776e-06, 0.0579204
-7.59776e-06, 0.058366
-7.56777e-06, 0.0587945
-7.53778e-06, 0.0591807
-7.50778e-06, 0.0595058
-7.47779e-06, 0.0597605
-7.44779e-06, 0.0599436
-7.4178e-06, 0.0600611
-7.38781e-06, 0.0601231
-7.35781e-06, 0.0601405
-7.32782e-06, 0.0601209
-7.29783e-06, 0.0600657
-7.26783e-06, 0.0599678
-7.23784e-06, 0.0598109
-7.20784e-06, 0.0595706
-7.17785e-06, 0.0592167
-7.14786e-06, 0.0587172
-7.11786e-06, 0.0580418
-7.08787e-06, 0.0571672
-7.05788e-06, 0.0560801
-7.02788e-06, 0.0547809
-6.99789e-06, 0.0532858
-6.96789e-06, 0.0516274
-6.9379e-06, 0.0498543
-6.90791e-06, 0.0480285
-6.87791e-06, 0.0462211
-6.84792e-06, 0.044506
-6.81793e-06, 0.042951
-6.78793e-06, 0.0416086
-6.75794e-06, 0.0405068
-6.72794e-06, 0.0396436
-6.69795e-06, 0.0389855
-6.66796e-06, 0.0384728
-6.63796e-06, 0.0380279
-6.60797e-06, 0.0375668
-6.57798e-06, 0.037009
-6.54798e-06, 0.0362854
-6.51799e-06, 0.0353438
-6.48799e-06, 0.0341515
-6.458e-06, 0.0326963
-6.42801e-06, 0.030986
-6.39801e-06, 0.0290473
-6.36802e-06, 0.0269243
-6.33803e-06, 0.0246769
-6.30803e-06, 0.0223797
-6.27804e-06, 0.0201207
-6.24804e-06, 0.0180003
-6.21805e-06, 0.0161273
-6.18806e-06, 0.0146091
-6.15806e-06, 0.0135304
-6.12807e-06, 0.0129235
-6.09808e-06, 0.0127469
-6.06808e-06, 0.0128941
-6.03809e-06, 0.0132294
-6.00809e-06, 0.0136245
-5.9781e-06, 0.0139777
-5.94811e-06, 0.0142177
-5.91811e-06, 0.0143001
-5.88812e-06, 0.0142026
-5.85813e-06, 0.013921
-5.82813e-06, 0.0134669
-5.79814e-06, 0.0128676
-5.76814e-06, 0.0121664
-5.73815e-06, 0.0114251
-5.70816e-06, 0.0107254
-5.67816e-06, 0.0101671
-5.64817e-06, 0.00985427
-5.61818e-06, 0.00986777
-5.58818e-06, 0.0102329
-5.55819e-06, 0.0109081
-5.52819e-06, 0.0118046
-5.4982e-06, 0.0128172
-5.46821e-06, 0.0138467
-5.43821e-06, 0.0148099
-5.40822e-06, 0.0156415
-5.37823e-06, 0.0162952
-5.34823e-06, 0.0167434
-5.31824e-06, 0.0169787
-5.28824e-06, 0.0170145
-5.25825e-06, 0.0168872
-5.22826e-06, 0.0166565
-5.19826e-06, 0.0164041
-5.16827e-06, 0.0162269
-5.13828e-06, 0.0162238
-5.10828e-06, 0.0164745
-5.07829e-06, 0.0170178
-5.04829e-06, 0.0178412
-5.0183e-06, 0.0188847
-4.98831e-06, 0.0200587
-4.95831e-06, 0.0212621
-4.92832e-06, 0.0223972
-4.89833e-06, 0.0233783
-4.86833e-06, 0.0241368
-4.83834e-06, 0.0246233
-4.80834e-06, 0.0248089
-4.77835e-06, 0.0246863
-4.74836e-06, 0.0242697
-4.71836e-06, 0.0235948
-4.68837e-06, 0.0227188
-4.65838e-06, 0.0217182
-4.62838e-06, 0.0206854
-4.59839e-06, 0.0197217
-4.56839e-06, 0.018925
-4.5384e-06, 0.0183728
-4.50841e-06, 0.0181035
-4.47841e-06, 0.0181063
-4.44842e-06, 0.0183241
-4.41843e-06, 0.0186705
-4.38843e-06, 0.0190511
-4.35844e-06, 0.0193808
-4.32845e-06, 0.0195947
-4.29845e-06, 0.0196522
-4.26846e-06, 0.019539
-4.23846e-06, 0.0192651
-4.20847e-06, 0.0188625
-4.17848e-06, 0.0183809
-4.14848e-06, 0.017882
-4.11849e-06, 0.0174306
-4.0885e-06, 0.0170841
-4.0585e-06, 0.0168817
-4.02851e-06, 0.016836
-3.99851e-06, 0.0169315
-3.96852e-06, 0.0171308
-3.93853e-06, 0.0173854
-3.90853e-06, 0.0176479
-3.87854e-06, 0.0178821
