

x(m), Y
-9.00747e-06, 0.0165327
-8.97748e-06, 0.0174573
-8.94748e-06, 0.0184836
-8.91749e-06, 0.0196003
-8.88749e-06, 0.0207924
-8.8575e-06, 0.0220415
-8.82751e-06, 0.0233256
-8.79751e-06, 0.0246201
-8.76752e-06, 0.0258983
-8.73753e-06, 0.0271328
-8.70753e-06, 0.0282976
-8.67754e-06, 0.0293693
-8.64754e-06, 0.0303305
-8.61755e-06, 0.0311713
-8.58756e-06, 0.0318922
-8.55756e-06, 0.0325059
-8.52757e-06, 0.0330388
-8.49758e-06, 0.0335306
-8.46758e-06, 0.0340326
-8.43759e-06, 0.0346036
-8.40759e-06, 0.0353032
-8.3776e-06, 0.0361839
-8.34761e-06, 0.0372819
-8.31761e-06, 0.0386109
-8.28762e-06, 0.0401586
-8.25763e-06, 0.0418884
-8.22763e-06, 0.0437437
-8.19764e-06, 0.0456555
-8.16764e-06, 0.0475492
-8.13765e-06, 0.0493528
-8.10766e-06, 0.0510018
-8.07766e-06, 0.0524442
-8.04767e-06, 0.0536438
-8.01768e-06, 0.0545826
-7.98768e-06, 0.0552612
-7.95769e-06, 0.0556987
-7.92769e-06, 0.0559312
-7.8977e-06, 0.0560087
-7.86771e-06, 0.0559901
-7.83771e-06, 0.055938
-7.80772e-06, 0.0559115
-7.77773e-06, 0.0559601
-7.74773e-06, 0.0561172
-7.71774e-06, 0.0563972
-7.68774e-06, 0.0567946
-7.65775e-06, 0.0572866
-7.62776e-06, 0.0578378
-7.59776e-06, 0.0584064
-7.56777e-06, 0.0589508
-7.53778e-06, 0.0594349
-7.50778e-06, 0.0598323
-7.47779e-06, 0.0601278
-7.44779e-06, 0.0603183
-7.4178e-06, 0.0604106
-7.38781e-06, 0.0604184
-7.35781e-06, 0.0603588
-7.32782e-06, 0.0602471
-7.29783e-06, 0.0600934
-7.26783e-06, 0.0598992
-7.23784e-06, 0.0596561
-7.20784e-06, 0.0593456
-7.17785e-06, 0.0589418
-7.14786e-06, 0.0584144
-7.11786e-06, 0.0577334
-7.08787e-06, 0.0568737
-7.05788e-06, 0.0558195
-7.02788e-06, 0.0545677
-6.99789e-06, 0.0531308
-6.96789e-06, 0.0515376
-6.9379e-06, 0.049833
-6.90791e-06, 0.0480754
-6.87791e-06, 0.0463327
-6.84792e-06, 0.0446752
-6.81793e-06, 0.0431677
-6.78793e-06, 0.0418597
-6.75794e-06, 0.0407772
-6.72794e-06, 0.0399169
-6.69795e-06, 0.0392451
-6.66796e-06, 0.0387031
-6.63796e-06, 0.0382153
-6.60797e-06, 0.0376999
-6.57798e-06, 0.037079
-6.54798e-06, 0.036286
-6.51799e-06, 0.0352717
-6.48799e-06, 0.0340059
-6.458e-06, 0.0324796
-6.42801e-06, 0.0307036
-6.39801e-06, 0.0287084
-6.36802e-06, 0.0265422
-6.33803e-06, 0.0242698
-6.30803e-06, 0.0219713
-6.27804e-06, 0.0197415
-6.24804e-06, 0.017687
-6.21805e-06, 0.0159209
-6.18806e-06, 0.0145484
-6.15806e-06, 0.0136405
-6.12807e-06, 0.0132035
-6.09808e-06, 0.0131673
-6.06808e-06, 0.0134066
-6.03809e-06, 0.0137817
