

x(m), Y
-9.00747e-06, 0.0163985
-8.97748e-06, 0.0171985
-8.94748e-06, 0.0181027
-8.91749e-06, 0.0191031
-8.88749e-06, 0.0201882
-8.8575e-06, 0.0213434
-8.82751e-06, 0.0225505
-8.79751e-06, 0.0237889
-8.76752e-06, 0.0250361
-8.73753e-06, 0.0262686
-8.70753e-06, 0.0274635
-8.67754e-06, 0.0286006
-8.64754e-06, 0.0296634
-8.61755e-06, 0.0306417
-8.58756e-06, 0.0315334
-8.55756e-06, 0.0323452
-8.52757e-06, 0.0330943
-8.49758e-06, 0.0338075
-8.46758e-06, 0.0345198
-8.43759e-06, 0.035272
-8.40759e-06, 0.0361052
-8.3776e-06, 0.0370563
-8.34761e-06, 0.0381521
-8.31761e-06, 0.0394045
-8.28762e-06, 0.0408081
-8.25763e-06, 0.0423405
-8.22763e-06, 0.0439642
-8.19764e-06, 0.0456314
-8.16764e-06, 0.0472887
-8.13765e-06, 0.0488828
-8.10766e-06, 0.0503647
-8.07766e-06, 0.0516942
-8.04767e-06, 0.0528428
-8.01768e-06, 0.0537949
-7.98768e-06, 0.0545494
-7.95769e-06, 0.0551191
-7.92769e-06, 0.055529
-7.8977e-06, 0.0558138
-7.86771e-06, 0.0560144
-7.83771e-06, 0.0561731
-7.80772e-06, 0.0563294
-7.77773e-06, 0.0565152
-7.74773e-06, 0.0567515
-7.71774e-06, 0.0570468
-7.68774e-06, 0.0573966
-7.65775e-06, 0.0577863
-7.62776e-06, 0.0581937
-7.59776e-06, 0.0585937
-7.56777e-06, 0.0589625
-7.53778e-06, 0.0592807
-7.50778e-06, 0.0595364
-7.47779e-06, 0.0597256
-7.44779e-06, 0.0598519
-7.4178e-06, 0.0599245
-7.38781e-06, 0.0599554
-7.35781e-06, 0.0599562
-7.32782e-06, 0.0599336
-7.29783e-06, 0.0598874
-7.26783e-06, 0.0598082
-7.23784e-06, 0.0596772
-7.20784e-06, 0.0594674
-7.17785e-06, 0.0591465
-7.14786e-06, 0.0586808
-7.11786e-06, 0.0580386
-7.08787e-06, 0.0571957
-7.05788e-06, 0.0561382
-7.02788e-06, 0.0548658
-6.99789e-06, 0.053394
-6.96789e-06, 0.0517544
-6.9379e-06, 0.0499943
-6.90791e-06, 0.0481743
-6.87791e-06, 0.0463642
-6.84792e-06, 0.0446363
-6.81793e-06, 0.0430578
-6.78793e-06, 0.0416816
-6.75794e-06, 0.0405376
-6.72794e-06, 0.0396269
-6.69795e-06, 0.0389202
-6.66796e-06, 0.0383622
-6.63796e-06, 0.0378796
-6.60797e-06, 0.0373916
-6.57798e-06, 0.0368198
-6.54798e-06, 0.0360962
-6.51799e-06, 0.0351687
-6.48799e-06, 0.0340036
-6.458e-06, 0.0325874
-6.42801e-06, 0.0309254
-6.39801e-06, 0.0290416
-6.36802e-06, 0.0269769
-6.33803e-06, 0.0247871
-6.30803e-06, 0.0225423
-6.27804e-06, 0.0203249
-6.24804e-06, 0.0182288
-6.21805e-06, 0.0163556
-6.18806e-06, 0.0148066
-6.15806e-06, 0.0136651
-6.12807e-06, 0.0129706
-6.09808e-06, 0.012697
-6.06808e-06, 0.0127553
-6.03809e-06, 0.0130221
-6.00809e-06, 0.0133745
-5.9781e-06, 0.013711
-5.94811e-06, 0.0139583
-5.91811e-06, 0.0140692
-5.88812e-06, 0.0140187
-5.85813e-06, 0.0137995
-5.82813e-06, 0.0134201
-5.79814e-06, 0.0129038
-5.76814e-06, 0.0122888
-5.73815e-06, 0.0116295
-5.70816e-06, 0.010997
-5.67816e-06, 0.0104775
-5.64817e-06, 0.0101611
-5.61818e-06, 0.0101219
-5.58818e-06, 0.0103918
-5.55819e-06, 0.010948
-5.52819e-06, 0.0117227
-5.4982e-06, 0.0126271
-5.46821e-06, 0.0135714
-5.43821e-06, 0.0144772
-5.40822e-06, 0.0152815
-5.37823e-06, 0.0159387
-5.34823e-06, 0.0164209
-5.31824e-06, 0.0167191
-5.28824e-06, 0.0168437
-5.25825e-06, 0.0168258
-5.22826e-06, 0.0167168
-5.19826e-06, 0.0165865
-5.16827e-06, 0.0165161
-5.13828e-06, 0.0165876
-5.10828e-06, 0.0168662
-5.07829e-06, 0.0173853
-5.04829e-06, 0.0181369
-5.0183e-06, 0.0190745
-4.98831e-06, 0.0201249
-4.95831e-06, 0.0212028
-4.92832e-06, 0.0222231
-4.89833e-06, 0.0231094
-4.86833e-06, 0.0237995
-4.83834e-06, 0.0242477
-4.80834e-06, 0.0244272
-4.77835e-06, 0.0243305
-4.74836e-06, 0.0239699
-4.71836e-06, 0.0233777
-4.68837e-06, 0.0226048
-4.65838e-06, 0.0217189
-4.62838e-06, 0.0208012
-4.59839e-06, 0.0199388
-4.56839e-06, 0.0192145
-4.5384e-06, 0.0186932
-4.50841e-06, 0.0184077
-4.47841e-06, 0.0183508
-4.44842e-06, 0.0184781
-4.41843e-06, 0.0187201
-4.38843e-06, 0.018999
-4.35844e-06, 0.0192427
-4.32845e-06, 0.0193952
-4.29845e-06, 0.0194211
-4.26846e-06, 0.0193073
-4.23846e-06, 0.0190623
-4.20847e-06, 0.0187134
-4.17848e-06, 0.0183028
-4.14848e-06, 0.0178821
-4.11849e-06, 0.0175038
-4.0885e-06, 0.0172135
-4.0585e-06, 0.0170405
-4.02851e-06, 0.0169928
-3.99851e-06, 0.0170569
-3.96852e-06, 0.0172027
-3.93853e-06, 0.0173928
-3.90853e-06, 0.0175915
-3.87854e-06, 0.0177733
-3.84855e-06, 0.0179278
-3.81855e-06, 0.0180618
-3.78856e-06, 0.0181979
-3.75856e-06, 0.0183709
-3.72857e-06, 0.0186205
-3.69858e-06, 0.0189824
-3.66858e-06, 0.0194796
-3.63859e-06, 0.0201164
-3.6086e-06, 0.0208767
-3.5786e-06, 0.0217266
-3.54861e-06, 0.0226218
-3.51861e-06, 0.023514
-3.48862e-06, 0.0243584
-3.45863e-06, 0.0251189
-3.42863e-06, 0.0257714
-3.39864e-06, 0.0263055
-3.36865e-06, 0.0267247
-3.33865e-06, 0.0270449
-3.30866e-06, 0.0272909
-3.27866e-06, 0.0274924
-3.24867e-06, 0.0276783
-3.21868e-06, 0.0278708
-3.18868e-06, 0.0280809
-3.15869e-06, 0.0283047
-3.1287e-06, 0.0285237
-3.0987e-06, 0.0287061
-3.06871e-06, 0.0288119
-3.03871e-06, 0.0287978
-3.00872e-06, 0.0286238
-2.97873e-06, 0.0282577
-2.94873e-06, 0.027681
-2.91874e-06, 0.0268918
-2.88875e-06, 0.0259087
-2.85875e-06, 0.0247736
-2.82876e-06, 0.0235529
-2.79876e-06, 0.0223381
-2.76877e-06, 0.0212423
-2.73878e-06, 0.0203895
-2.70878e-06, 0.0198934
-2.67879e-06, 0.0198295
-2.6488e-06, 0.0202097
-2.6188e-06, 0.0209784
-2.58881e-06, 0.0220308
-2.55881e-06, 0.0232412
-2.52882e-06, 0.0244865
-2.49883e-06, 0.0256599
-2.46883e-06, 0.0266757
-2.43884e-06, 0.0274691
-2.40885e-06, 0.027995
-2.37885e-06, 0.0282255
-2.34886e-06, 0.0281476
-2.31886e-06, 0.0277604
-2.28887e-06, 0.0270735
-2.25888e-06, 0.0261051
-2.22888e-06, 0.0248808
-2.19889e-06, 0.0234324
-2.1689e-06, 0.021799
-2.1389e-06, 0.0200279
-2.10891e-06, 0.0181777
-2.07891e-06, 0.0163252
-2.04892e-06, 0.0145729
-2.01893e-06, 0.0130593
-1.98893e-06, 0.0119581
-1.95894e-06, 0.011445
-1.92895e-06, 0.0116177
-1.89895e-06, 0.0124301
-1.86896e-06, 0.0137191
-1.83896e-06, 0.0152897
-1.80897e-06, 0.0169715
-1.77898e-06, 0.018632
