

x(m), Y
-9.00747e-06, 0.0162535
-8.97748e-06, 0.0172912
-8.94748e-06, 0.0184351
-8.91749e-06, 0.0196701
-8.88749e-06, 0.0209776
-8.8575e-06, 0.0223353
-8.82751e-06, 0.0237173
-8.79751e-06, 0.0250949
-8.76752e-06, 0.0264372
-8.73753e-06, 0.0277127
-8.70753e-06, 0.0288916
-8.67754e-06, 0.0299474
-8.64754e-06, 0.0308606
-8.61755e-06, 0.0316207
-8.58756e-06, 0.0322302
-8.55756e-06, 0.0327061
-8.52757e-06, 0.0330825
-8.49758e-06, 0.0334107
-8.46758e-06, 0.0337566
-8.43759e-06, 0.0341963
-8.40759e-06, 0.034806
-8.3776e-06, 0.0356515
-8.34761e-06, 0.0367759
-8.31761e-06, 0.0381912
-8.28762e-06, 0.0398746
-8.25763e-06, 0.0417728
-8.22763e-06, 0.0438089
-8.19764e-06, 0.0458937
-8.16764e-06, 0.0479345
-8.13765e-06, 0.0498444
-8.10766e-06, 0.0515488
-8.07766e-06, 0.05299
-8.04767e-06, 0.0541315
-8.01768e-06, 0.0549596
-7.98768e-06, 0.0554842
-7.95769e-06, 0.0557389
-7.92769e-06, 0.0557777
-7.8977e-06, 0.0556715
-7.86771e-06, 0.0555014
-7.83771e-06, 0.05535
-7.80772e-06, 0.0552919
-7.77773e-06, 0.0553838
-7.74773e-06, 0.0556569
-7.71774e-06, 0.0561128
-7.68774e-06, 0.0567251
-7.65775e-06, 0.0574443
-7.62776e-06, 0.0582075
-7.59776e-06, 0.0589478
-7.56777e-06, 0.0596038
-7.53778e-06, 0.0601271
-7.50778e-06, 0.0604867
-7.47779e-06, 0.0606714
-7.44779e-06, 0.0606898
-7.4178e-06, 0.060567
-7.38781e-06, 0.0603403
-7.35781e-06, 0.0600525
-7.32782e-06, 0.0597448
-7.29783e-06, 0.0594495
-7.26783e-06, 0.0591842
-7.23784e-06, 0.0589476
-7.20784e-06, 0.0587194
-7.17785e-06, 0.058463
-7.14786e-06, 0.0581303
-7.11786e-06, 0.0576693
-7.08787e-06, 0.057031
-7.05788e-06, 0.0561767
-7.02788e-06, 0.0550835
-6.99789e-06, 0.0537482
-6.96789e-06, 0.0521899
-6.9379e-06, 0.05045
-6.90791e-06, 0.0485907
-6.87791e-06, 0.0466906
-6.84792e-06, 0.0448382
-6.81793e-06, 0.0431218
-6.78793e-06, 0.041618
-6.75794e-06, 0.0403785
-6.72794e-06, 0.03942
-6.69795e-06, 0.0387197
-6.66796e-06, 0.0382178
-6.63796e-06, 0.037828
-6.60797e-06, 0.037451
-6.57798e-06, 0.0369885
-6.54798e-06, 0.0363546
-6.51799e-06, 0.0354823
-6.48799e-06, 0.0343283
-6.458e-06, 0.0328735
-6.42801e-06, 0.0311234
-6.39801e-06, 0.0291062
-6.36802e-06, 0.0268713
-6.33803e-06, 0.0244882
-6.30803e-06, 0.0220452
-6.27804e-06, 0.0196498
-6.24804e-06, 0.0174279
-6.21805e-06, 0.0155195
-6.18806e-06, 0.0140634
-6.15806e-06, 0.0131604
-6.12807e-06, 0.0128248
-6.09808e-06, 0.0129635
-6.06808e-06, 0.0134111
-6.03809e-06, 0.0139908
-6.00809e-06, 0.0145549
-5.9781e-06, 0.014997
-5.94811e-06, 0.0152474
-5.91811e-06, 0.0152656
-5.88812e-06, 0.0150338
-5.85813e-06, 0.0145527
-5.82813e-06, 0.0138395
-5.79814e-06, 0.0129288
-5.76814e-06, 0.0118761
-5.73815e-06, 0.0107645
-5.70816e-06, 0.00971568
-5.67816e-06, 0.00889583
-5.64817e-06, 0.00849593
-5.61818e-06, 0.00865549
-5.58818e-06, 0.00937285
-5.55819e-06, 0.0105108
-5.52819e-06, 0.0118853
-5.4982e-06, 0.0133314
-5.46821e-06, 0.0147195
-5.43821e-06, 0.0159519
-5.40822e-06, 0.016956
-5.37823e-06, 0.0176814
-5.34823e-06, 0.0180986
-5.31824e-06, 0.0182006
-5.28824e-06, 0.0180048
-5.25825e-06, 0.0175569
-5.22826e-06, 0.0169349
-5.19826e-06, 0.0162522
-5.16827e-06, 0.0156551
-5.13828e-06, 0.0153076
-5.10828e-06, 0.0153544
-5.07829e-06, 0.0158725
-5.04829e-06, 0.0168408
-5.0183e-06, 0.0181535
-4.98831e-06, 0.0196611
-4.95831e-06, 0.0212087
-4.92832e-06, 0.0226582
-4.89833e-06, 0.0238964
-4.86833e-06, 0.0248373
-4.83834e-06, 0.0254222
-4.80834e-06, 0.0256193
-4.77835e-06, 0.025424
-4.74836e-06, 0.0248589
-4.71836e-06, 0.0239742
-4.68837e-06, 0.0228478
-4.65838e-06, 0.0215843
-4.62838e-06, 0.0203115
-4.59839e-06, 0.0191715
-4.56839e-06, 0.0183005
-4.5384e-06, 0.0177992
-4.50841e-06, 0.0177003
-4.47841e-06, 0.0179557
-4.44842e-06, 0.0184537
-4.41843e-06, 0.0190545
-4.38843e-06, 0.0196238
-4.35844e-06, 0.020053
-4.32845e-06, 0.020268
-4.29845e-06, 0.020231
-4.26846e-06, 0.0199389
-4.23846e-06, 0.0194222
-4.20847e-06, 0.0187418
-4.17848e-06, 0.0179844
-4.14848e-06, 0.017255
-4.11849e-06, 0.0166624
-4.0885e-06, 0.0162976
-4.0585e-06, 0.0162103
-4.02851e-06, 0.0163932
-3.99851e-06, 0.016786
-3.96852e-06, 0.0172958
-3.93853e-06, 0.017823
-3.90853e-06, 0.0182821
-3.87854e-06, 0.0186136
-3.84855e-06, 0.0187904
-3.81855e-06, 0.0188187
-3.78856e-06, 0.0187377
-3.75856e-06, 0.0186151
-3.72857e-06, 0.0185384
-3.69858e-06, 0.0186001
-3.66858e-06, 0.0188772
-3.63859e-06, 0.0194117
-3.6086e-06, 0.0201987
-3.5786e-06, 0.0211896
-3.54861e-06, 0.0223057
-3.51861e-06, 0.0234566
-3.48862e-06, 0.0245558
-3.45863e-06, 0.0255309
-3.42863e-06, 0.0263301
-3.39864e-06, 0.026925
-3.36865e-06, 0.0273116
-3.33865e-06, 0.0275091
-3.30866e-06, 0.0275569
-3.27866e-06, 0.0275096
-3.24867e-06, 0.0274292
-3.21868e-06, 0.0273756
-3.18868e-06, 0.0273958
-3.15869e-06, 0.0275145
-3.1287e-06, 0.0277282
-3.0987e-06, 0.0280057
-3.06871e-06, 0.0282936
-3.03871e-06, 0.0285254
-3.00872e-06, 0.0286322
-2.97873e-06, 0.028552
-2.94873e-06, 0.0282377
-2.91874e-06, 0.0276626
-2.88875e-06, 0.0268244
-2.85875e-06, 0.0257491
-2.82876e-06, 0.0244928
-2.79876e-06, 0.0231443
-2.76877e-06, 0.0218237
-2.73878e-06, 0.0206773
-2.70878e-06, 0.0198594
-2.67879e-06, 0.0194997
-2.6488e-06, 0.019662
-2.6188e-06, 0.02032
-2.58881e-06, 0.0213677
-2.55881e-06, 0.0226564
-2.52882e-06, 0.0240326
-2.49883e-06, 0.0253603
-2.46883e-06, 0.0265297
-2.43884e-06, 0.0274586
-2.40885e-06, 0.0280892
-2.37885e-06, 0.0283855
-2.34886e-06, 0.0283296
-2.31886e-06, 0.0279188
-2.28887e-06, 0.0271634
-2.25888e-06, 0.0260843
-2.22888e-06, 0.0247118
-2.19889e-06, 0.0230845
-2.1689e-06, 0.0212509
-2.1389e-06, 0.0192712
-2.10891e-06, 0.0172235
-2.07891e-06, 0.0152135
-2.04892e-06, 0.0133897
-2.01893e-06, 0.0119556
-1.98893e-06, 0.0111502
-1.95894e-06, 0.0111521
-1.92895e-06, 0.0119519
-1.89895e-06, 0.0133546
-1.86896e-06, 0.0151075
-1.83896e-06, 0.0169938
-1.80897e-06, 0.0188511
-1.77898e-06, 0.0205605
-1.74898e-06, 0.0220345
-1.71899e-06, 0.0232088
