

x(m), Y
-9.00747e-06, 0.0162989
-8.97748e-06, 0.0170917
-8.94748e-06, 0.0179919
-8.91749e-06, 0.0189927
-8.88749e-06, 0.0200842
-8.8575e-06, 0.0212526
-8.82751e-06, 0.022481
-8.79751e-06, 0.0237494
-8.76752e-06, 0.0250356
-8.73753e-06, 0.0263159
-8.70753e-06, 0.0275665
-8.67754e-06, 0.0287652
-8.64754e-06, 0.0298928
-8.61755e-06, 0.0309353
-8.58756e-06, 0.0318854
-8.55756e-06, 0.0327441
-8.52757e-06, 0.0335219
-8.49758e-06, 0.0342392
-8.46758e-06, 0.0349255
-8.43759e-06, 0.0356178
-8.40759e-06, 0.0363571
-8.3776e-06, 0.0371838
-8.34761e-06, 0.0381327
-8.31761e-06, 0.0392278
-8.28762e-06, 0.0404783
-8.25763e-06, 0.0418769
-8.22763e-06, 0.0433998
-8.19764e-06, 0.0450101
-8.16764e-06, 0.0466615
-8.13765e-06, 0.048303
-8.10766e-06, 0.0498837
-8.07766e-06, 0.0513573
-8.04767e-06, 0.0526849
-8.01768e-06, 0.053838
-7.98768e-06, 0.0547995
-7.95769e-06, 0.0555648
-7.92769e-06, 0.0561409
-7.8977e-06, 0.0565457
-7.86771e-06, 0.0568059
-7.83771e-06, 0.0569546
-7.80772e-06, 0.057028
-7.77773e-06, 0.0570622
-7.74773e-06, 0.0570901
-7.71774e-06, 0.0571391
-7.68774e-06, 0.0572288
-7.65775e-06, 0.0573704
-7.62776e-06, 0.0575675
-7.59776e-06, 0.0578167
-7.56777e-06, 0.0581096
-7.53778e-06, 0.0584352
-7.50778e-06, 0.0587806
-7.47779e-06, 0.0591332
-7.44779e-06, 0.0594805
-7.4178e-06, 0.0598099
-7.38781e-06, 0.0601085
-7.35781e-06, 0.0603614
-7.32782e-06, 0.0605517
-7.29783e-06, 0.0606595
-7.26783e-06, 0.0606618
-7.23784e-06, 0.0605342
-7.20784e-06, 0.0602515
-7.17785e-06, 0.0597901
-7.14786e-06, 0.0591307
-7.11786e-06, 0.0582602
-7.08787e-06, 0.0571749
-7.05788e-06, 0.0558818
-7.02788e-06, 0.0544007
-6.99789e-06, 0.0527646
-6.96789e-06, 0.0510191
-6.9379e-06, 0.0492209
-6.90791e-06, 0.0474344
-6.87791e-06, 0.0457264
-6.84792e-06, 0.04416
-6.81793e-06, 0.0427858
-6.78793e-06, 0.0416346
-6.75794e-06, 0.0407118
-6.72794e-06, 0.039995
-6.69795e-06, 0.0394365
-6.66796e-06, 0.03897
-6.63796e-06, 0.0385192
-6.60797e-06, 0.0380075
-6.57798e-06, 0.0373654
-6.54798e-06, 0.0365364
-6.51799e-06, 0.0354805
-6.48799e-06, 0.0341758
-6.458e-06, 0.0326189
-6.42801e-06, 0.0308242
-6.39801e-06, 0.0288228
-6.36802e-06, 0.0266609
-6.33803e-06, 0.0243992
-6.30803e-06, 0.0221113
-6.27804e-06, 0.0198829
-6.24804e-06, 0.0178105
-6.21805e-06, 0.0159975
-6.18806e-06, 0.0145435
-6.15806e-06, 0.0135236
-6.12807e-06, 0.0129613
-6.09808e-06, 0.0128103
-6.06808e-06, 0.0129664
-6.03809e-06, 0.0133005
-6.00809e-06, 0.0136918
-5.9781e-06, 0.0140443
-5.94811e-06, 0.0142902
-5.91811e-06, 0.0143864
-5.88812e-06, 0.0143105
-5.85813e-06, 0.0140567
-5.82813e-06, 0.0136332
-5.79814e-06, 0.0130625
-5.76814e-06, 0.0123813
-5.73815e-06, 0.0116426
-5.70816e-06, 0.0109184
-5.67816e-06, 0.0102987
-5.64817e-06, 0.00988492
-5.61818e-06, 0.00976745
-5.58818e-06, 0.00999505
-5.55819e-06, 0.0105531
-5.52819e-06, 0.0113718
-5.4982e-06, 0.0123539
-5.46821e-06, 0.0134008
-5.43821e-06, 0.014426
-5.40822e-06, 0.0153599
-5.37823e-06, 0.0161501
-5.34823e-06, 0.0167616
-5.31824e-06, 0.0171767
-5.28824e-06, 0.017396
-5.25825e-06, 0.017439
-5.22826e-06, 0.0173445
-5.19826e-06, 0.0171704
-5.16827e-06, 0.0169904
-5.13828e-06, 0.0168867
-5.10828e-06, 0.0169384
-5.07829e-06, 0.0172048
-5.04829e-06, 0.0177116
-5.0183e-06, 0.018444
-4.98831e-06, 0.0193518
-4.95831e-06, 0.0203615
-4.92832e-06, 0.0213901
-4.89833e-06, 0.0223573
-4.86833e-06, 0.0231919
-4.83834e-06, 0.0238371
-4.80834e-06, 0.0242523
-4.77835e-06, 0.0244141
-4.74836e-06, 0.0243171
-4.71836e-06, 0.0239731
-4.68837e-06, 0.0234112
-4.65838e-06, 0.0226757
-4.62838e-06, 0.0218247
-4.59839e-06, 0.0209262
-4.56839e-06, 0.0200534
-4.5384e-06, 0.0192769
-4.50841e-06, 0.018655
-4.47841e-06, 0.0182246
-4.44842e-06, 0.017994
-4.41843e-06, 0.0179422
-4.38843e-06, 0.0180261
-4.35844e-06, 0.0181909
-4.32845e-06, 0.0183819
-4.29845e-06, 0.0185529
-4.26846e-06, 0.0186711
-4.23846e-06, 0.018719
-4.20847e-06, 0.018693
-4.17848e-06, 0.0186013
-4.14848e-06, 0.0184603
-4.11849e-06, 0.0182903
-4.0885e-06, 0.0181117
-4.0585e-06, 0.0179415
-4.02851e-06, 0.0177906
-3.99851e-06, 0.017664
-3.96852e-06, 0.0175616
-3.93853e-06, 0.0174815
-3.90853e-06, 0.0174227
-3.87854e-06, 0.0173897
-3.84855e-06, 0.0173936
-3.81855e-06, 0.0174531
-3.78856e-06, 0.0175927
-3.75856e-06, 0.0178381
-3.72857e-06, 0.0182108
-3.69858e-06, 0.0187223
